track_id,song_id,artist_id,artist_name,song_title,genre,dot_1,dot_2,dot_3,centered_1,centered_2,centered_3,corr_1,corr_2,corr_3,cosine_1,cosine_2,cosine_3,tfidf_dot_1,tfidf_dot_2,tfidf_dot_3,tfidf_centered_1,tfidf_centered_2,tfidf_centered_3,tfidf_corr_1,tfidf_corr_2,tfidf_corr_3,tfidf_cosine_1,tfidf_cosine_2,tfidf_cosine_3
TRBYDKJ12903CA9D33,SOTXSMC12AB0182217,ARS8GNX1187B9B5141,The Black Keys,Black Door,blues,Kandi - I Wanna Know,Lauryn Hill - Interlude 5,Mario Vazquez - Everytime I...,Kandi - I Wanna Know,Lauryn Hill - Interlude 5,Mario Vazquez - Everytime I...,Kandi - I Wanna Know,Julia Fordham - Genius,Psapp - I Want That,Kandi - I Wanna Know,Julia Fordham - Genius,Psapp - I Want That,Masta Ace Incorporated - Jeep Ass Niguh,Michael Jackson - Man In The Mirror,The Donnas - Take Me To The Backseat (Album Version),Masta Ace Incorporated - Jeep Ass Niguh,Michael Jackson - Man In The Mirror,The Donnas - Take Me To The Backseat (Album Version),The Donnas - Take Me To The Backseat (Album Version),Eternal - Oh Baby I,Bad Brains - Don't Bother Me (Bad Brains),The Donnas - Take Me To The Backseat (Album Version),Masta Ace Incorporated - Jeep Ass Niguh,Eternal - Oh Baby I
TRWJKJK128F9338FEF,SOIFDQD12AB01822F5,ARS8GNX1187B9B5141,The Black Keys,Busted,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Bow Wow - Sunshine,The Clash - 1-2 Crush On You,Hawthorne Heights - Rescue Me,Bow Wow - Sunshine,The Clash - 1-2 Crush On You,Hawthorne Heights - Rescue Me,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Onyx - Slam Harder,Keith Sweat - Caught Up,Onyx - Slam,Onyx - Slam Harder,Heideroosjes - If Trust Is Broken...,Keith Sweat - Caught Up,Bunny Wailer - Walk The Proud Land,Keith Sweat - Caught Up,Heideroosjes - If Trust Is Broken...,Jessica Simpson - These Boots Are Made For Walkin'
TRUULBP12903CA9D23,SORMOIW12AB01887F0,ARS8GNX1187B9B5141,The Black Keys,Give Your Heart Away,blues,Lauryn Hill - Interlude 5,Michael Jackson - Man In The Mirror,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Michael Jackson - Man In The Mirror,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Elton John - Heart In The Right Place,Kenny Rogers - Endless love,Dru Hill - Share My World,Elton John - Heart In The Right Place,Kenny Rogers - Endless love,Dru Hill - Share My World,Michael Jackson - Man In The Mirror,Brownstone - 5 Miles To Empty,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Michael Jackson - Man In The Mirror,Brownstone - 5 Miles To Empty,Dru Hill - Share My World,Dru Hill - Share My World,Sean Lennon - One Night,Twenty 4 Seven - Take Me Away,Dru Hill - Share My World,Kelly Clarkson - Anytime,Sean Lennon - One Night
TRYYJHJ128F9340B19,SOKGVJH12A58A77920,ARS8GNX1187B9B5141,The Black Keys,Grown So Ugly,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - My Darling,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - My Darling,Robert Johnson - 32 20 Blues,Robert Johnson - Kindhearted Woman Blues,Once Nothing - The Dust Of A Town,Robert Johnson - 32 20 Blues,Once Nothing - The Dust Of A Town,Jodeci - My Phone,Lauryn Hill - Interlude 5,Snoop Dogg - Snoopafella (Edited),DJ Quik - Safe + Sound,Snoop Dogg - Snoopafella (Edited),Mississippi Fred McDowell - Louise,Lauryn Hill - Interlude 5,Elmore James - Whose Muddy Shoes,Mississippi Fred McDowell - Louise,Snoop Dogg - Snoopafella (Edited),Elmore James - Whose Muddy Shoes,Mississippi Fred McDowell - Louise,Snoop Dogg - Snoopafella (Edited)
TRHHJCL12903CB44B7,SOFRWHG12A58A7DF46,ARS8GNX1187B9B5141,The Black Keys,Hard Row,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Dance Hall Crashers - Othello,Eyes Set to Kill - All You Ever Knew,The Acacia Strain - Skynet,Dance Hall Crashers - Othello,Eyes Set to Kill - All You Ever Knew,The Acacia Strain - Skynet,Michael Jackson - Man In The Mirror,Aceyalone - Mr. Outsider,Ty Herndon - Pray For Me,Michael Jackson - Man In The Mirror,Aceyalone - Mr. Outsider,The Jacksons - Enjoy Yourself,The Jacksons - Enjoy Yourself,Ella Fitzgerald - Let Yourself Go,Lighthouse Family - Whatever Gets You Through The Day,The Jacksons - Enjoy Yourself,Ella Fitzgerald - Let Yourself Go,Lighthouse Family - Whatever Gets You Through The Day
TRWZXDS128F427A71B,SOAJJDS12A8C13A3FB,ARS8GNX1187B9B5141,The Black Keys,I Got Mine,blues,Mario Vazquez - Everytime I...,Eminem - 8 Mile,Erykah Badu - I Want You,Mario Vazquez - Everytime I...,Erykah Badu - I Want You,Eminem - 8 Mile,Gary Moore - Ain't Nobody,Veronica Maggio - I staden växer inga blommor,Judy Garland - I Got Rhythm,Gary Moore - Ain't Nobody,Veronica Maggio - I staden växer inga blommor,Judy Garland - I Got Rhythm,The Maine - You Left Me,The Simpsons - Do The Bartman,Talib Kweli - A game,The Maine - You Left Me,Nina Simone - Nobody,Ashanti - Rock Wit U (Awww Baby),Fairground Attraction - Winter Rose,Big Bad Voodoo Daddy - Please Baby,Blind Willie McTell - Rollin' Mama Blues,Fairground Attraction - Winter Rose,Big Bad Voodoo Daddy - Please Baby,Blind Willie McTell - Rollin' Mama Blues
TRZDLWE12903CB44DE,SOURIRH12A58A7B408,ARS8GNX1187B9B5141,The Black Keys,If You See Me,blues,Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Erykah Badu - I Want You,Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Erykah Badu - I Want You,Ann Lee - Smooth & Sweet,Hafdis Huld - Plastic Halo,Ginuwine - Only When ur Lonely,Ann Lee - Smooth & Sweet,Hafdis Huld - Plastic Halo,Ginuwine - Only When ur Lonely,Michael Jackson - Man In The Mirror,Petey Pablo - Fool For Love,Redman - Soopaman Luva 3,Michael Jackson - Man In The Mirror,Katerine - Treat Me Like A Lady,Petey Pablo - Fool For Love,Katerine - Treat Me Like A Lady,Buddy Holly - Door To My Heart,Roy Orbison - Candy Man,Katerine - Treat Me Like A Lady,Buddy Holly - Door To My Heart,Jimmy Cliff - Treat The Youths Right
TRNZQVO128F427A71E,SOIQUSV12A8C13A402,ARS8GNX1187B9B5141,The Black Keys,Lies,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Pop Will Eat Itself - I've Always Been A Coward Baby,Das Ich - Lügen Und Das Ich,Linda Ronstadt - Lies  (LP Version),Pop Will Eat Itself - I've Always Been A Coward Baby,Das Ich - Lügen Und Das Ich,Linda Ronstadt - Lies  (LP Version),Ja Rule - One of Us,Lauryn Hill - Interlude 5,OutKast - Hey Ya!,OutKast - Hey Ya!,Johnny Winter - Blinded By Love,Warlock - Kiss Of Death,Public Image Ltd - Where Are You?,Utada - Crossover Interlude,Warlock - Kiss Of Death,Warlock - Kiss Of Death,Ian McCulloch - Close Your Eyes,Pop Will Eat Itself - I've Always Been A Coward Baby
TRAECHJ12903CC36DA,SOCQQSU12AB0185BF4,ARS8GNX1187B9B5141,The Black Keys,Next Girl,blues,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Calvin Harris - The Girls,Eminem - 8 Mile,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Calvin Harris - The Girls,Eminem - 8 Mile,Jesse Johnson - I Want My Girl,OTT - Be My Girl,The Jeff Healey Band - My Little Girl,Jesse Johnson - I Want My Girl,OTT - Be My Girl,The Jeff Healey Band - My Little Girl,Twiztid - She Ain't Afraid,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Twiztid - She Ain't Afraid,Yerba Buena - Guajira (I Love U 2 Much),Eric B. & Rakim - What's On Your Mind,Frank Sinatra - The Girl That I Marry,Paul Potts - Cavatina,Frank Sinatra - The Girl Next Door,Frank Sinatra - The Girl That I Marry,Paul Potts - Cavatina,Frank Sinatra - The Girl Next Door
TRRVSIN128F9338FD5,SOSICNK12AB01876BB,ARS8GNX1187B9B5141,The Black Keys,No Fun,blues,Enrique Iglesias - Miss You,Tracey Ullman - Breakaway,Janis Joplin - Kozmic Blues,Enrique Iglesias - Miss You,Tracey Ullman - Breakaway,Janis Joplin - Kozmic Blues,The Stooges - No Fun (Remasterd LP Version),Yerba Buena - No No No,Mecano - La Estación,The Stooges - No Fun (Remasterd LP Version),Yerba Buena - No No No,Mecano - La Estación,The Stooges - No Fun (Remasterd LP Version),Cyndi Lauper - Girls Just Want To Have Fun,Young Jeezy - By The Way,The Stooges - No Fun (Remasterd LP Version),Cyndi Lauper - Girls Just Want To Have Fun,Devo - Time Out For Fun,The Stooges - No Fun (Remasterd LP Version),The Presets - Kicking And Screaming,Devo - Time Out For Fun,The Stooges - No Fun (Remasterd LP Version),The Presets - Kicking And Screaming,Devo - Time Out For Fun
TRYMMVG128F9340B1B,SOHKBXW12AB0185660,ARS8GNX1187B9B5141,The Black Keys,Stack Shot Billy,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Pharcyde - Otha Fish,Lauryn Hill - Interlude 5,The Pharcyde - Otha Fish,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),George Jones - Who Shot Sam,Thursday - Unintended Long Term Effects,John Hiatt - Trudy And Dave,George Jones - Who Shot Sam,Thursday - Unintended Long Term Effects,John Hiatt - Trudy And Dave,Bob Dylan - Shot Of Love,Onyx - Face Down,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Bob Dylan - Shot Of Love,Suicidal Tendencies - I Shot The Devil,Neil Young - Down By The River [Live At Massey Hall 1971],Suicidal Tendencies - I Shot The Devil,Neil Young - Down By The River [Live At Massey Hall 1971],Carbon Leaf - American Tale,Suicidal Tendencies - I Shot The Devil,Neil Young - Down By The River [Live At Massey Hall 1971],Bob Dylan - Shot Of Love
TRKSEEY12903CCD312,SOTEPSZ12AB018C99D,ARS8GNX1187B9B5141,The Black Keys,Ten Cent Pistol,blues,The Corrs - Queen Of Hollywood ( LP Version ),Twiztid - She Ain't Afraid,Lauryn Hill - Interlude 5,The Corrs - Queen Of Hollywood ( LP Version ),Twiztid - She Ain't Afraid,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Boomtown Rats - Diamond Smiles,The Corrs - Queen Of Hollywood ( LP Version ),Tracy Byrd - Right About Now,The Boomtown Rats - Diamond Smiles,The Corrs - Queen Of Hollywood ( LP Version ),Tracy Byrd - Right About Now,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twiztid - She Ain't Afraid,Lauryn Hill - Interlude 5,Twiztid - She Ain't Afraid,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Corrs - Queen Of Hollywood ( LP Version ),Marilyn Manson - Cyclops,Tracy Byrd - Right About Now,Dave Barnes - You Do The Same For Me,Tracy Byrd - Right About Now,Alabama - Lady Down On Love,Marilyn Manson - Cyclops
TRFOGQC12903CA9D2E,SOTDIMP12AB01821E8,ARS8GNX1187B9B5141,The Black Keys,The Flame,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Danity Kane - Hold Me Down (Album Version),Midtown - Knew It All Along (Acoustic),Digital Underground - Sex Packets (LP Version),Lauryn Hill - Interlude 5,Digital Underground - Sex Packets (LP Version),Lauryn Hill - Interlude 5,Midtown - Knew It All Along (Acoustic),Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),GG Allin - Kissing The Flames,GG Allin - Kissing The Flames,ERIC SARDINAS - Flames of Love,Tina Turner - All The Woman (Recorded Live In London '99),ERIC SARDINAS - Flames of Love,GG Allin - Kissing The Flames,Dinah Washington - Wheel Of Fortune,ERIC SARDINAS - Flames of Love,GG Allin - Kissing The Flames,Dinah Washington - Wheel Of Fortune
TREVCQU12903CCD318,SOGECRB12AB018C9AB,ARS8GNX1187B9B5141,The Black Keys,These Days,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Erykah Badu - I Want You,Gregg Allman - These Days,Hot Water Music - The Sense,Rhymefest - These Days,Gregg Allman - These Days,Hot Water Music - The Sense,Rhymefest - These Days,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Brand New Heavies - Last to Know,The Brand New Heavies - Last to Know,Lauryn Hill - Interlude 5,Michael Jackson - Man In The Mirror,The Brand New Heavies - Last to Know,Rich Mullins - The Howling,Zimmers Hole - Death To The Dodgers Of Soap,The Brand New Heavies - Last to Know,Rich Mullins - The Howling,Josh Groban - Vincent (Starry_ Starry Night) (Album Version)
TRFLJNE12903CB44F1,SOBJBEU12AF729D526,ARS8GNX1187B9B5141,The Black Keys,When The Lights Go Out,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Donnie - Do You Know?,Shannon McNally - Down And Dirty,Bon Jovi - Superman Tonight,Shannon McNally - Down And Dirty,Donnie - Do You Know?,Bon Jovi - Superman Tonight,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,R. Kelly - I Mean (I Don't Mean It),R. Kelly - I Mean (I Don't Mean It),Natalie Cole - Your Eyes,Ledisi - Alright,Regina Belle - Just Don't Want To Be Lonely,Cake - Alpha Beta Parking Lot,Disco - Enemmän,Regina Belle - Just Don't Want To Be Lonely,Chemlab - Force Quit,Ian McCulloch - Playgrounds And City Parks
TRQNNKX12903CB44CA,SOCULJG12A8AE4714D,ARS8GNX1187B9B5141,The Black Keys,Have Love Will Travel,blues,Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Lisa Stansfield - Somewhere In Time,Burden Of A Day - My Forfeit,Bronski Beat - I Feel Love,Lisa Stansfield - Somewhere In Time,Burden Of A Day - My Forfeit,Rufus Wainwright - Baby,KMD - Plumskinzz (Loose Hoe_ God & Cupid),Onyx - Slam Harder,Onyx - Slam,Onyx - Slam,Onyx - Slam Harder,KMD - Plumskinzz (Loose Hoe_ God & Cupid),The Dells - I Miss You,Shania Twain - I'm Not In The Mood (To Say No)!,Bob Marley & The Wailers - Reggae On Broadway,The Dells - I Miss You,Shania Twain - I'm Not In The Mood (To Say No)!,Bob Marley & The Wailers - Reggae On Broadway
TRKNKGC128F42A746A,SOUZEJD12D021B5336,AR20CFC1187B98A25D,Ray Charles,C.C. Rider,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Harry Belafonte - Angelina,Jeff Timmons - Can't You See,Shannon McNally - Down And Dirty,Harry Belafonte - Angelina,Jeff Timmons - Can't You See,Shannon McNally - Down And Dirty,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Savatage - The Hourglass,Twista - Overdose (Album Version),Duran Duran - All Along The Water,Madness - Forever Young,Johnny Winter - Blinded By Love,Duran Duran - All Along The Water,Fats Domino - Careless Love,Richard Hawley - Coming Home (Live At Sheffield City Hall),Duran Duran - All Along The Water,Fats Domino - Careless Love,Molly Hatchet - The Price You Pay
